"city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Zagreb"," Croatia","Zagreb, City of Zagreb, Croatia","45.813177","15.977048","4829.275","25853.847","1","0"
"Bremerhaven"," Germany","Bremerhaven, Free Hanseatic City of Bremen, Germany","53.5522264","8.5865509","14825.099","79358.531","3","0"
