"Type","Location","Latitude","Longitude","Total km traveled (round-trip)","Total emissions (metric tons CO2e)","Median km traveled per person","Median emissions per person"
"Point of Minimum Travel","England, United Kingdom",51.1419064051013,-2.47937760588232,922232.973176629,145.45,2396,0.38
"User Entry","Cape Town, ZAF",-33.92,18.435,2738984.4064061,424.55,19341,2.98
