"city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Bremerhaven"," Germany","Bremerhaven, Free Hanseatic City of Bremen, Germany","53.5522264","8.5865509","0.0","0.0","0","5"
"Hamburg"," Germany","Hamburg, Germany","53.5437641","10.0099133","5.624","188.079","0","1"
