"city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Oviedo"," Spain","Oviedo, Spain","43.3605977","-5.8448989","3349.482","17880.535","1","0"
"Cologne"," Germany","Cologne, North Rhine-Westphalia, Germany","50.938361","6.959974","3538.505","19006.901","1","0"
"Göttingen"," Germany","Göttingen, Landkreis Göttingen, Lower Saxony, Germany","51.5328328","9.9351811","3551.147","19078.018","1","0"
"Zeuthen"," Germany","Zeuthen, Dahme-Spreewald, Brandenburg, 15738, Germany","52.3508259","13.6293881","3576.438","19210.365","1","0"
"Hanover"," Germany","Hanover, Region Hannover, Lower Saxony, Germany","52.3744779","9.7385532","3587.277","19267.089","1","0"
"Bremen"," Germany","Bremen, Free Hanseatic City of Bremen, Germany","53.0758196","8.8071646","3619.986","19438.256","1","0"
"Bremerhaven"," Germany","Bremerhaven, Free Hanseatic City of Bremen, Germany","53.5522264","8.5865509","3640.817","19547.267","1","0"
"Hamburg"," Germany","Hamburg, Germany","53.5437641","10.0099133","7271.462","39041.305","2","0"
"Leipzig"," Germany","Leipzig, Saxony, 04109, Germany","51.3406321","12.3747329","10612.012","56999.829","3","0"
