"Affiliation","City","State","Country","Longitude","Latitude","Coded Location","Geocoded","England _ km","England _Emissions","Cape Town _ km","Cape Town _Emissions"
NA,"Swindon",NA,"England",-1.7797176,51.5557739,"swindon, uk","Yes",133.848737729938,0,19414.7056165615,2.98704700872435
NA,"Swindon",NA,"England",-1.7797176,51.5557739,"swindon, uk","Yes",133.848737729938,0,19414.7056165615,2.98704700872435
NA,"Swindon",NA,"England",-1.7797176,51.5557739,"swindon, uk","Yes",133.848737729938,0,19414.7056165615,2.98704700872435
NA,"Edinburgh",NA,"Scotland",-3.188267,55.953252,"edinburgh, uk","Yes",1074.07089439578,0.17178121701463,20403.5538059695,3.13918611835544
NA,"Edinburgh",NA,"Scotland",-3.188267,55.953252,"edinburgh, uk","Yes",1074.07089439578,0.17178121701463,20403.5538059695,3.13918611835544
NA,"Edinburgh",NA,"Scotland",-3.188267,55.953252,"edinburgh, uk","Yes",1074.07089439578,0.17178121701463,20403.5538059695,3.13918611835544
NA,"Edinburgh",NA,"Scotland",-3.188267,55.953252,"edinburgh, uk","Yes",1074.07089439578,0.17178121701463,20403.5538059695,3.13918611835544
NA,"Edinburgh",NA,"Scotland",-3.188267,55.953252,"edinburgh, uk","Yes",1074.07089439578,0.17178121701463,20403.5538059695,3.13918611835544
NA,"Edinburgh",NA,"Scotland",-3.188267,55.953252,"edinburgh, uk","Yes",1074.07089439578,0.17178121701463,20403.5538059695,3.13918611835544
NA,"Edinburgh",NA,"Scotland",-3.188267,55.953252,"edinburgh, uk","Yes",1074.07089439578,0.17178121701463,20403.5538059695,3.13918611835544
NA,"Edinburgh",NA,"Scotland",-3.188267,55.953252,"edinburgh, uk","Yes",1074.07089439578,0.17178121701463,20403.5538059695,3.13918611835544
NA,"Oban",NA,"Scotland",-5.471047,56.415157,"oban, uk","Yes",1236.56122486619,0.197769060896219,20591.5951583149,3.16811719617516
NA,"Oban",NA,"Scotland",-5.471047,56.415157,"oban, uk","Yes",1236.56122486619,0.197769060896219,20591.5951583149,3.16811719617516
NA,"Oban",NA,"Scotland",-5.471047,56.415157,"oban, uk","Yes",1236.56122486619,0.197769060896219,20591.5951583149,3.16811719617516
NA,"Oban",NA,"Scotland",-5.471047,56.415157,"oban, uk","Yes",1236.56122486619,0.197769060896219,20591.5951583149,3.16811719617516
NA,"Oban",NA,"Scotland",-5.471047,56.415157,"oban, uk","Yes",1236.56122486619,0.197769060896219,20591.5951583149,3.16811719617516
NA,"Oban",NA,"Scotland",-5.471047,56.415157,"oban, uk","Yes",1236.56122486619,0.197769060896219,20591.5951583149,3.16811719617516
NA,"Oban",NA,"Scotland",-5.471047,56.415157,"oban, uk","Yes",1236.56122486619,0.197769060896219,20591.5951583149,3.16811719617516
NA,"Paris",NA,"France",2.3333,48.8667,"Paris, Île-de-France, France","No",853.665918482017,0.223500929018783,18685.5996517565,2.87487050529304
NA,"Paris",NA,"France",2.3333,48.8667,"Paris, Île-de-France, France","No",853.665918482017,0.223500929018783,18685.5996517565,2.87487050529304
NA,"Paris",NA,"France",2.3333,48.8667,"Paris, Île-de-France, France","No",853.665918482017,0.223500929018783,18685.5996517565,2.87487050529304
NA,"Paris",NA,"France",2.3333,48.8667,"Paris, Île-de-France, France","No",853.665918482017,0.223500929018783,18685.5996517565,2.87487050529304
NA,"Paris",NA,"France",2.3333,48.8667,"Paris, Île-de-France, France","No",853.665918482017,0.223500929018783,18685.5996517565,2.87487050529304
NA,"Paris",NA,"France",2.3333,48.8667,"Paris, Île-de-France, France","No",853.665918482017,0.223500929018783,18685.5996517565,2.87487050529304
NA,"Plouzane",NA,"France",-4.6167,48.3833,"Plouzane, Bretagne, France","No",685.955397565653,0.17959211595795,18867.7336102354,2.9028927017974
NA,"Plouzane",NA,"France",-4.6167,48.3833,"Plouzane, Bretagne, France","No",685.955397565653,0.17959211595795,18867.7336102354,2.9028927017974
NA,"Plouzane",NA,"France",-4.6167,48.3833,"Plouzane, Bretagne, France","No",685.955397565653,0.17959211595795,18867.7336102354,2.9028927017974
NA,"Plouzane",NA,"France",-4.6167,48.3833,"Plouzane, Bretagne, France","No",685.955397565653,0.17959211595795,18867.7336102354,2.9028927017974
NA,"Plouzane",NA,"France",-4.6167,48.3833,"Plouzane, Bretagne, France","No",685.955397565653,0.17959211595795,18867.7336102354,2.9028927017974
NA,"Bremen",NA,"Germany",8.79063,53.08891,"Bremen, Germany","Yes",1596.90696660241,0.255400852600536,19439.7553148503,2.9909010267981
NA,"Bremen",NA,"Germany",8.79063,53.08891,"Bremen, Germany","Yes",1596.90696660241,0.255400852600536,19439.7553148503,2.9909010267981
NA,"Bremen",NA,"Germany",8.79063,53.08891,"Bremen, Germany","Yes",1596.90696660241,0.255400852600536,19439.7553148503,2.9909010267981
NA,"Bremen",NA,"Germany",8.79063,53.08891,"Bremen, Germany","Yes",1596.90696660241,0.255400852600536,19439.7553148503,2.9909010267981
NA,"Bremen",NA,"Germany",8.79063,53.08891,"Bremen, Germany","Yes",1596.90696660241,0.255400852600536,19439.7553148503,2.9909010267981
NA,"Kiel",NA,"Germany",10.13,54.3304,"Kiel, Schleswig-Holstein, Germany","No",1836.76669898474,0.293762749339782,19690.6757544479,3.02950635841273
NA,"Kiel",NA,"Germany",10.13,54.3304,"Kiel, Schleswig-Holstein, Germany","No",1836.76669898474,0.293762749339782,19690.6757544479,3.02950635841273
NA,"Kiel",NA,"Germany",10.13,54.3304,"Kiel, Schleswig-Holstein, Germany","No",1836.76669898474,0.293762749339782,19690.6757544479,3.02950635841273
NA,"Kiel",NA,"Germany",10.13,54.3304,"Kiel, Schleswig-Holstein, Germany","No",1836.76669898474,0.293762749339782,19690.6757544479,3.02950635841273
NA,"Kiel",NA,"Germany",10.13,54.3304,"Kiel, Schleswig-Holstein, Germany","No",1836.76669898474,0.293762749339782,19690.6757544479,3.02950635841273
