"Affiliation","City","State","Country","Longitude","Latitude","Coded Location","Geocoded","Lakenheath _ km","Lakenheath _Emissions","Edinburgh _ km","Edinburgh _Emissions"
NA,"Oban",NA,"Scotland",-5.471047,56.415157,"oban, uk","Yes",1172.76031778128,0.187565081323857,297.422848796891,0
NA,"Westville",NA,"South Africa",30.937,-29.8255,"Westville, KwaZulu-Natal, South Africa","No",19227.1976083239,2.95819798849299,20143.7362883905,3.0992119279646
NA,"Port Elizabeth",NA,"South Africa",25.6,-33.97,"Port Elizabeth, Eastern Cape, South Africa","No",19823.639547971,3.04996348557993,20730.1461884488,3.18943394690478
NA,"Pretoria",NA,"South Africa",28.2294,-25.7069,"Pretoria, Gauteng, South Africa","No",18194.0861851269,2.7992487647815,19109.3799706607,2.94007117116661
NA,"Madrid",NA,"Spain",-3.6834,40.4,"Madrid, Madrid, Spain","No",2746.48467036465,0.439258229274216,3458.44963372063,0.553126139218715
NA,"Madrid",NA,"Spain",-3.6834,40.4,"Madrid, Madrid, Spain","No",2746.48467036465,0.439258229274216,3458.44963372063,0.553126139218715
NA,"Madrid",NA,"Spain",-3.6834,40.4,"Madrid, Madrid, Spain","No",2746.48467036465,0.439258229274216,3458.44963372063,0.553126139218715
NA,"Madrid",NA,"Spain",-3.6834,40.4,"Madrid, Madrid, Spain","No",2746.48467036465,0.439258229274216,3458.44963372063,0.553126139218715
NA,"Goeteborg",NA,"Sweden",11.96679,57.70716,"Goeteborg, Sweden","Yes",1874.86880204279,0.299856598142761,1884.51999291939,0.301400158556764
NA,"Philadelphia",NA,"United States of America",-75.1652215,39.9525839,"philadelphia, pa, usa","Yes",11412.4549976739,1.75586178004797,10744.1575890916,1.65304096912921
NA,"Philadelphia",NA,"United States of America",-75.1652215,39.9525839,"philadelphia, pa, usa","Yes",11412.4549976739,1.75586178004797,10744.1575890916,1.65304096912921
NA,"Corvallis",NA,"United States of America",-123.2620435,44.5645659,"corvallis, or, usa","Yes",15932.8887312641,2.45135252447311,15025.3557781979,2.31172415995839
NA,"Corvallis",NA,"United States of America",-123.2620435,44.5645659,"corvallis, or, usa","Yes",15932.8887312641,2.45135252447311,15025.3557781979,2.31172415995839
