Kick-off meeting (Edinburgh),
Azores,2
Belgium,3
Bermuda,1
Brazil,2
England,6
France,1
Germany,13
Iceland,1
Italy,1
Netherlands,1
Scotland,12
South Africa,3
Spain,4
Sweden,1
USA,4
Total,55
