"Type","Location","Latitude","Longitude","Total km traveled (round-trip)","Total emissions (metric tons CO2e)","Median km traveled per person","Median emissions per person"
"Point of Minimum Travel","Lakenheath, England, United Kingdom",52.4209389298004,0.45640089798262,227043.0336495,36.32,1173,0.24
"User Entry","Edinburgh, GBR",55.9483,-3.2191,233992.181066522,36.16,1673,0.27
